"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,738042,"Northwest Pompano","FL","Miami-Fort Lauderdale","Broward","Pompano Beach",1666,135200,0.00520446096654275,0.0134932533733133,0.073015873015873,0.11429553898268,,"2018-02","2018-Q1",135200,0,"2018-02"
2018-02-28,276480,"North River","OH","Toledo","Lucas","Toledo",1667,43400,0.0023094688221709,-0.0180995475113122,-0.0158730158730159,0.00996874843195861,-0.0108448037376616,"2007-12","2007-Q4",49900,-0.130260521042084,"2003-11"
2018-02-28,270862,"Kenfield","NY","Buffalo","Erie","Buffalo",1668,55200,-0.0036101083032491,-0.0264550264550265,-0.0142857142857143,0.0331258946587549,,"2017-09","2017-Q3",57700,-0.0433275563258232,"2017-02"
2018-02-28,275343,"Shannon Park","NC","Charlotte","Mecklenburg","Charlotte",1669,139700,0.0211988304093567,0.0704980842911877,0.278133577310156,0.142389998832794,0.0376882742250855,"2018-02","2018-Q1",139700,0,"2018-02"
2018-02-28,403314,"Palmer Square","IL","Chicago","Cook","Chicago",1670,330300,0.00639853747714808,0.0222841225626741,0.0248215947874651,0.112872782124335,0.0132019287463379,"2018-02","2018-Q1",330300,0,"2018-02"
2018-02-28,268026,"Blacow","CA","San Francisco","Alameda","Fremont",1671,979100,0.00575243965074474,0.0456001708671508,0.178502648050072,0.138087902112521,0.0503820071198648,"2018-02","2018-Q1",979100,0,"2018-02"
2018-02-28,182408,"Kings Grant","NC","Wilmington","New Hanover","Wilmington",1672,174300,0.00403225806451613,0.00577034045008656,0.0628048780487805,0.0704715768216597,0.00374794488963781,"2018-02","2018-Q1",174300,0,"2018-02"
2018-02-28,273470,"Dietz","AZ","Tucson","Pima","Tucson",1673,167600,0.001194743130227,0.0145278450363196,0.109199205823958,0.0636608934650564,-0.00521705366973624,"2006-05","2006-Q2",198500,-0.155667506297229,"2005-06"
2018-02-28,416131,"Melrose Park","FL","Miami-Fort Lauderdale","Broward","Fort Lauderdale",1674,238800,0.0110076206604572,0.0183368869936034,0.15028901734104,0.171118949062634,,"2018-02","2018-Q1",238800,0,"2018-02"
2018-02-28,273343,"Coomer Creek","TX","Dallas-Fort Worth","Dallas","Garland",1675,227000,0.00486941124391324,0.0280797101449275,0.0929224843524314,0.115882339889343,0.0488454207256683,"2018-02","2018-Q1",227000,0,"2018-02"
2018-02-28,275437,"South Hampton","MO","St. Louis","Saint Louis City","Saint Louis",1676,171500,0.00645539906103286,0.0226595110316041,0.0732165206508135,0.0361483431943812,0.00671369359308938,"2007-04","2007-Q2",174300,-0.0160642570281124,"2006-10"
2018-02-28,275825,"University Square","FL","Tampa","Hillsborough","Tampa",1677,123800,0.0189300411522634,0.0608397600685518,0.148423005565863,0.166576448880248,-0.00518046379776083,"2006-10","2006-Q4",151200,-0.181216931216931,"2005-10"
2018-02-28,275890,"Virginia Highland","GA","Atlanta","Fulton","Atlanta",1678,650000,0.00634773184703514,0.00775193798449612,0.0307643514113543,0.0827944795982472,0.0449383499249243,"2018-02","2018-Q1",650000,0,"2018-02"
2018-02-28,152275,"Lakeview","LA","New Orleans","Orleans","New Orleans",1679,376900,-0.00815789473684211,-0.00554089709762533,-0.0370464997445069,0.0560119873773048,,"2016-10","2016-Q4",405900,-0.0714461690071446,"2015-07"
